t,pos,vel,u,pref
1.18,-0.083462,0.422967,0.604468, 1
1.19,-0.0792324,0.425616,0.604468, 1
1.2,-0.0749762,0.428197,0.604468, 1
1.21,-0.0706942,0.430409,0.574384, 1
1.22,-0.0663902,0.432555,0.574384, 1
1.23,-0.0620646,0.434638,0.574384, 1
1.24,-0.0577182,0.436656,0.574384, 1
1.25,-0.0533517,0.43861,0.574384, 1
1.26,-0.0489656,0.440501,0.574384, 1
1.27,-0.0445606,0.44233,0.574384, 1
1.28,-0.0401373,0.444096,0.574384, 1
1.29,-0.0356963,0.4458,0.574384, 1
1.3,-0.0312383,0.447443,0.574384, 1
1.31,-0.0267639,0.448823,0.5542, 1
1.32,-0.0222756,0.450144,0.5542, 1
1.33,-0.0177742,0.451408,0.5542, 1
1.34,-0.0132601,0.452613,0.5542, 1
1.35,-0.00873398,0.453762,0.5542, 1
1.36,-0.00419636,0.454854,0.5542, 1
1.37,0.000352173,0.455889,0.5542, 1
1.38,0.00491106,0.456869,0.5542, 1
1.39,0.00947975,0.457793,0.5542, 1
1.4,0.0140577,0.458662,0.5542, 1
1.41,0.0186443,0.459357,0.542207, 1
1.42,0.0232379,0.459999,0.542207, 1
1.43,0.0278379,0.460589,0.542207, 1
1.44,0.0324437,0.461126,0.542207, 1
1.45,0.037055,0.461613,0.542207, 1
1.46,0.0416711,0.462048,0.542207, 1
1.47,0.0462916,0.462433,0.542207, 1
1.48,0.050916,0.462768,0.542207, 1
1.49,0.0555436,0.463053,0.542207, 1
1.5,0.0601742,0.463289,0.542207, 1
1.51,0.0648071,0.463424,0.536947, 1
1.52,0.0694413,0.463511,0.536947, 1
1.53,0.0740764,0.463551,0.536947, 1
1.54,0.0787119,0.463544,0.536947, 1
1.55,0.0833474,0.463491,0.536947, 1
1.56,0.0879823,0.463392,0.536947, 1
1.57,0.0926162,0.463248,0.536947, 1
1.58,0.0972487,0.463059,0.536947, 1
1.59,0.101879,0.462825,0.536947, 1
1.6,0.106508,0.462548,0.536947, 1
1.61,0.111133,0.462229,0.537175, 1
1.62,0.115755,0.461867,0.537175, 1
1.63,0.120374,0.461463,0.537175, 1
1.64,0.124989,0.461016,0.537175, 1
1.65,0.129599,0.460528,0.537175, 1
1.66,0.134204,0.459998,0.537175, 1
1.67,0.138804,0.459428,0.537175, 1
1.68,0.143398,0.458817,0.537175, 1
1.69,0.147986,0.458167,0.537175, 1
1.7,0.152568,0.457477,0.537175, 1
1.71,0.157143,0.456795,0.541833, 1
1.72,0.161711,0.456074,0.541833, 1
1.73,0.166272,0.455314,0.541833, 1
1.74,0.170825,0.454517,0.541833, 1
1.75,0.17537,0.453682,0.541833, 1
1.76,0.179907,0.45281,0.541833, 1
1.77,0.184435,0.451901,0.541833, 1
1.78,0.188954,0.450956,0.541833, 1
1.79,0.193463,0.449975,0.541833, 1
1.8,0.197963,0.448959,0.541833, 1
1.81,0.202453,0.44799,0.550025, 1
1.82,0.206933,0.446986,0.550025, 1
1.83,0.211402,0.445947,0.550025, 1
1.84,0.215862,0.444874,0.550025, 1
1.85,0.220311,0.443767,0.550025, 1
1.86,0.224748,0.442626,0.550025, 1
1.87,0.229175,0.441453,0.550025, 1
1.88,0.233589,0.440246,0.550025, 1
1.89,0.237992,0.439008,0.550025, 1
1.9,0.242382,0.437739,0.550025, 1
1.91,0.246759,0.436547,0.560992, 1
1.92,0.251125,0.435324,0.560992, 1
1.93,0.255478,0.43407,0.560992, 1
1.94,0.259818,0.432784,0.560992, 1
1.95,0.264146,0.431468,0.560992, 1
1.96,0.268461,0.430122,0.560992, 1
1.97,0.272762,0.428746,0.560992, 1
1.98,0.27705,0.427341,0.560992, 1
1.99,0.281323,0.425907,0.560992, 1
2,0.285582,0.424444,0.560992, 1
2.01,0.289827,0.423085,0.574093, 1
2.02,0.294057,0.421697,0.574093, 1
2.03,0.298274,0.42028,0.574093, 1
2.04,0.302477,0.418836,0.574093, 1
2.05,0.306666,0.417363,0.574093, 1
2.06,0.310839,0.415864,0.574093, 1
2.07,0.314998,0.414338,0.574093, 1
2.08,0.319141,0.412785,0.574093, 1
2.09,0.323269,0.411207,0.574093, 1
2.1,0.327381,0.409603,0.574093, 1
2.11,0.331477,0.408121,0.588793, 1
2.12,0.335558,0.406613,0.588793, 1
2.13,0.339625,0.40508,0.588793, 1
2.14,0.343675,0.40352,0.588793, 1
2.15,0.347711,0.401936,0.588793, 1
2.16,0.35173,0.400328,0.588793, 1
2.17,0.355733,0.398695,0.588793, 1
2.18,0.35972,0.397039,0.588793, 1
2.19,0.363691,0.395359,0.588793, 1
2.2,0.367644,0.393657,0.588793, 1
2.21,0.371581,0.39209,0.604641, 1
2.22,0.375502,0.3905,0.604641, 1
2.23,0.379407,0.388886,0.604641, 1
2.24,0.383295,0.38725,0.604641, 1
2.25,0.387168,0.385591,0.604641, 1
2.26,0.391024,0.383909,0.604641, 1
2.27,0.394863,0.382206,0.604641, 1
2.28,0.398685,0.380482,0.604641, 1
2.29,0.40249,0.378737,0.604641, 1
2.3,0.406277,0.376971,0.604641, 1
2.31,0.410047,0.375351,0.621263, 1
2.32,0.4138,0.37371,0.621263, 1
2.33,0.417538,0.372047,0.621263, 1
2.34,0.421258,0.370364,0.621263, 1
2.35,0.424962,0.368661,0.621263, 1
2.36,0.428648,0.366937,0.621263, 1
2.37,0.432318,0.365194,0.621263, 1
2.38,0.43597,0.363431,0.621263, 1
2.39,0.439604,0.36165,0.621263, 1
2.4,0.44322,0.35985,0.621263, 1
2.41,0.446819,0.358203,0.63835, 1
2.42,0.450401,0.356536,0.63835, 1
2.43,0.453966,0.35485,0.63835, 1
2.44,0.457515,0.353146,0.63835, 1
2.45,0.461046,0.351422,0.63835, 1
2.46,0.46456,0.349681,0.63835, 1
2.47,0.468057,0.347922,0.63835, 1
2.48,0.471536,0.346146,0.63835, 1
2.49,0.474998,0.344353,0.63835, 1
2.5,0.478441,0.342543,0.63835, 1
2.51,0.481867,0.340889,0.655647, 1
2.52,0.485276,0.339218,0.655647, 1
2.53,0.488668,0.33753,0.655647, 1
2.54,0.492043,0.335824,0.655647, 1
2.55,0.495401,0.334102,0.655647, 1
2.56,0.498743,0.332364,0.655647, 1
2.57,0.502066,0.330609,0.655647, 1
2.58,0.505372,0.328839,0.655647, 1
2.59,0.508661,0.327053,0.655647, 1
2.6,0.511931,0.325252,0.655647, 1
2.61,0.515184,0.32361,0.672947, 1
2.62,0.51842,0.321952,0.672947, 1
2.63,0.521639,0.320277,0.672947, 1
2.64,0.524842,0.318588,0.672947, 1
2.65,0.528028,0.316883,0.672947, 1
2.66,0.531197,0.315163,0.672947, 1
2.67,0.534348,0.313429,0.672947, 1
2.68,0.537483,0.311681,0.672947, 1
2.69,0.540599,0.309919,0.672947, 1
2.7,0.543699,0.308143,0.672947, 1
2.71,0.54678,0.306525,0.690081, 1
2.72,0.549845,0.304893,0.690081, 1
2.73,0.552894,0.303246,0.690081, 1
2.74,0.555927,0.301586,0.690081, 1
2.75,0.558943,0.299912,0.690081, 1
2.76,0.561942,0.298224,0.690081, 1
2.77,0.564924,0.296523,0.690081, 1
2.78,0.567889,0.294809,0.690081, 1
2.79,0.570837,0.293083,0.690081, 1
2.8,0.573768,0.291345,0.690081, 1
2.81,0.576682,0.289763,0.706917, 1
2.82,0.579579,0.288167,0.706917, 1
2.83,0.582461,0.286559,0.706917, 1
2.84,0.585326,0.284938,0.706917, 1
2.85,0.588176,0.283305,0.706917, 1
2.86,0.591009,0.281659,0.706917, 1
2.87,0.593825,0.280002,0.706917, 1
2.88,0.596625,0.278332,0.706917, 1
2.89,0.599409,0.276652,0.706917, 1
2.9,0.602175,0.274961,0.706917, 1
2.91,0.604925,0.273423,0.723348, 1
2.92,0.607659,0.271873,0.723348, 1
2.93,0.610378,0.270311,0.723348, 1
2.94,0.613081,0.268737,0.723348, 1
2.95,0.615768,0.267153,0.723348, 1
2.96,0.61844,0.265557,0.723348, 1
2.97,0.621095,0.263951,0.723348, 1
2.98,0.623735,0.262334,0.723348, 1
2.99,0.626358,0.260706,0.723348, 1
3,0.628965,0.259069,0.723348, 1
3.01,0.631556,0.257582,0.739294, 1
3.02,0.634132,0.256083,0.739294, 1
3.03,0.636693,0.254574,0.739294, 1
3.04,0.639238,0.253054,0.739294, 1
3.05,0.641769,0.251524,0.739294, 1
3.06,0.644284,0.249984,0.739294, 1
3.07,0.646784,0.248435,0.739294, 1
3.08,0.649268,0.246875,0.739294, 1
3.09,0.651737,0.245307,0.739294, 1
3.1,0.65419,0.243729,0.739294, 1
3.11,0.656628,0.242297,0.754693, 1
3.12,0.659051,0.240855,0.754693, 1
3.13,0.661459,0.239403,0.754693, 1
3.14,0.663853,0.237941,0.754693, 1
3.15,0.666233,0.23647,0.754693, 1
3.16,0.668597,0.23499,0.754693, 1
3.17,0.670947,0.233501,0.754693, 1
3.18,0.673282,0.232003,0.754693, 1
3.19,0.675602,0.230497,0.754693, 1
3.2,0.677907,0.228983,0.754693, 1
3.21,0.680197,0.22761,0.769503, 1
3.22,0.682473,0.226226,0.769503, 1
3.23,0.684735,0.224835,0.769503, 1
3.24,0.686984,0.223434,0.769503, 1
3.25,0.689218,0.222025,0.769503, 1
3.26,0.691438,0.220607,0.769503, 1
3.27,0.693644,0.219182,0.769503, 1
3.28,0.695836,0.217749,0.769503, 1
3.29,0.698014,0.216308,0.769503, 1
3.3,0.700177,0.21486,0.769503, 1
3.31,0.702325,0.213546,0.783692, 1
3.32,0.704461,0.212224,0.783692, 1
3.33,0.706583,0.210894,0.783692, 1
3.34,0.708692,0.209557,0.783692, 1
3.35,0.710788,0.208211,0.783692, 1
3.36,0.71287,0.206858,0.783692, 1
3.37,0.714938,0.205498,0.783692, 1
3.38,0.716993,0.20413,0.783692, 1
3.39,0.719034,0.202756,0.783692, 1
3.4,0.721062,0.201375,0.783692, 1
3.41,0.723076,0.200123,0.797244, 1
3.42,0.725077,0.198863,0.797244, 1
3.43,0.727066,0.197596,0.797244, 1
3.44,0.729042,0.196322,0.797244, 1
3.45,0.731005,0.195041,0.797244, 1
3.46,0.732955,0.193753,0.797244, 1
3.47,0.734893,0.192458,0.797244, 1
3.48,0.736817,0.191157,0.797244, 1
3.49,0.738729,0.18985,0.797244, 1
3.5,0.740627,0.188537,0.797244, 1
3.51,0.742513,0.187347,0.81015, 1
3.52,0.744386,0.186149,0.81015, 1
3.53,0.746248,0.184946,0.81015, 1
3.54,0.748097,0.183735,0.81015, 1
3.55,0.749935,0.182518,0.81015, 1
3.56,0.75176,0.181295,0.81015, 1
3.57,0.753573,0.180066,0.81015, 1
3.58,0.755373,0.178831,0.81015, 1
3.59,0.757162,0.177591,0.81015, 1
3.6,0.758938,0.176345,0.81015, 1
3.61,0.760701,0.175216,0.822409, 1
3.62,0.762453,0.174081,0.822409, 1
3.63,0.764194,0.17294,0.822409, 1
3.64,0.765923,0.171792,0.822409, 1
3.65,0.767641,0.170639,0.822409, 1
3.66,0.769348,0.169481,0.822409, 1
3.67,0.771043,0.168317,0.822409, 1
3.68,0.772726,0.167147,0.822409, 1
3.69,0.774397,0.165972,0.822409, 1
3.7,0.776057,0.164793,0.822409, 1
3.71,0.777705,0.163725,0.834028, 1
3.72,0.779342,0.162651,0.834028, 1
3.73,0.780969,0.161571,0.834028, 1
3.74,0.782584,0.160486,0.834028, 1
3.75,0.784189,0.159395,0.834028, 1
3.76,0.785783,0.1583,0.834028, 1
3.77,0.787366,0.157199,0.834028, 1
3.78,0.788938,0.156094,0.834028, 1
3.79,0.790499,0.154984,0.834028, 1
3.8,0.792049,0.153869,0.834028, 1
3.81,0.793588,0.15286,0.845016, 1
3.82,0.795116,0.151846,0.845016, 1
3.83,0.796635,0.150826,0.845016, 1
3.84,0.798143,0.149802,0.845016, 1
3.85,0.799641,0.148773,0.845016, 1
3.86,0.801129,0.147739,0.845016, 1
3.87,0.802606,0.1467,0.845016, 1
3.88,0.804073,0.145657,0.845016, 1
3.89,0.80553,0.14461,0.845016, 1
3.9,0.806976,0.143559,0.845016, 1
3.91,0.808411,0.142608,0.85539, 1
3.92,0.809837,0.141651,0.85539, 1
3.93,0.811254,0.14069,0.85539, 1
3.94,0.812661,0.139725,0.85539, 1
3.95,0.814058,0.138755,0.85539, 1
3.96,0.815446,0.13778,0.85539, 1
3.97,0.816823,0.136802,0.85539, 1
3.98,0.818191,0.13582,0.85539, 1
3.99,0.81955,0.134834,0.85539, 1
4,0.820898,0.133844,0.85539, 1
4.01,0.822236,0.132948,0.865166, 1
4.02,0.823566,0.132048,0.865166, 1
4.03,0.824886,0.131143,0.865166, 1
4.04,0.826198,0.130235,0.865166, 1
4.05,0.8275,0.129322,0.865166, 1
4.06,0.828793,0.128405,0.865166, 1
4.07,0.830077,0.127485,0.865166, 1
4.08,0.831352,0.126561,0.865166, 1
4.09,0.832618,0.125634,0.865166, 1
4.1,0.833874,0.124703,0.865166, 1
4.11,0.835121,0.123861,0.874366, 1
4.12,0.83636,0.123015,0.874366, 1
4.13,0.83759,0.122164,0.874366, 1
4.14,0.838812,0.121311,0.874366, 1
4.15,0.840025,0.120453,0.874366, 1
4.16,0.841229,0.119592,0.874366, 1
4.17,0.842425,0.118727,0.874366, 1
4.18,0.843612,0.117859,0.874366, 1
4.19,0.844791,0.116988,0.874366, 1
4.2,0.845961,0.116114,0.874366, 1
4.21,0.847122,0.115324,0.883012, 1
4.22,0.848275,0.114529,0.883012, 1
4.23,0.849421,0.113731,0.883012, 1
4.24,0.850558,0.11293,0.883012, 1
4.25,0.851687,0.112125,0.883012, 1
4.26,0.852808,0.111317,0.883012, 1
4.27,0.853922,0.110506,0.883012, 1
4.28,0.855027,0.109692,0.883012, 1
