t,pos,vel,u,pref
0.01,-0.914212,1.65245,-0.666473, 1
0.02,-0.897688,1.63841,-0.666473, 1
0.03,-0.881304,1.62433,-0.666473, 1
0.04,-0.86506,1.61024,-0.666473, 1
0.05,-0.848958,1.59612,-0.666473, 1
0.06,-0.832997,1.58199,-0.666473, 1
0.07,-0.817177,1.56783,-0.666473, 1
0.08,-0.801499,1.55366,-0.666473, 1
0.09,-0.785962,1.53947,-0.666473, 1
0.1,-0.770567,1.52527,-0.666473, 1
0.11,-0.755315,1.51233,-0.539474, 1
0.12,-0.740191,1.49937,-0.539474, 1
0.13,-0.725198,1.48638,-0.539474, 1
0.14,-0.710334,1.47337,-0.539474, 1
0.15,-0.6956,1.46035,-0.539474, 1
0.16,-0.680997,1.44731,-0.539474, 1
0.17,-0.666523,1.43425,-0.539474, 1
0.18,-0.652181,1.42118,-0.539474, 1
0.19,-0.637969,1.40809,-0.539474, 1
0.2,-0.623888,1.395,-0.539474, 1
0.21,-0.609938,1.3832,-0.408092, 1
0.22,-0.596106,1.37139,-0.408092, 1
0.23,-0.582392,1.35956,-0.408092, 1
0.24,-0.568797,1.3477,-0.408092, 1
0.25,-0.55532,1.33583,-0.408092, 1
0.26,-0.541961,1.32395,-0.408092, 1
0.27,-0.528722,1.31205,-0.408092, 1
0.28,-0.515601,1.30013,-0.408092, 1
0.29,-0.5026,1.28821,-0.408092, 1
0.3,-0.489718,1.27627,-0.408092, 1
0.31,-0.476955,1.26552,-0.288207, 1
0.32,-0.4643,1.25475,-0.288207, 1
0.33,-0.451753,1.24397,-0.288207, 1
0.34,-0.439313,1.23316,-0.288207, 1
0.35,-0.426981,1.22234,-0.288207, 1
0.36,-0.414758,1.21151,-0.288207, 1
0.37,-0.402643,1.20066,-0.288207, 1
0.38,-0.390636,1.1898,-0.288207, 1
0.39,-0.378738,1.17892,-0.288207, 1
0.4,-0.366949,1.16804,-0.288207, 1
0.41,-0.355269,1.15824,-0.178922, 1
0.42,-0.343686,1.14842,-0.178922, 1
0.43,-0.332202,1.13858,-0.178922, 1
0.44,-0.320816,1.12873,-0.178922, 1
0.45,-0.309529,1.11886,-0.178922, 1
0.46,-0.29834,1.10898,-0.178922, 1
0.47,-0.287251,1.09908,-0.178922, 1
0.48,-0.27626,1.08918,-0.178922, 1
0.49,-0.265368,1.07926,-0.178922, 1
0.5,-0.254575,1.06933,-0.178922, 1
0.51,-0.243882,1.06039,-0.0792571, 1
0.52,-0.233278,1.05143,-0.0792571, 1
0.53,-0.222764,1.04246,-0.0792571, 1
0.54,-0.212339,1.03347,-0.0792571, 1
0.55,-0.202005,1.02446,-0.0792571, 1
0.56,-0.19176,1.01545,-0.0792571, 1
0.57,-0.181606,1.00642,-0.0792571, 1
0.58,-0.171541,0.997377,-0.0792571, 1
0.59,-0.161568,0.988326,-0.0792571, 1
0.6,-0.151684,0.979265,-0.0792571, 1
0.61,-0.141892,0.971106,0.0116744, 1
0.62,-0.132181,0.962931,0.0116744, 1
