t,pos,vel,u,pref
0.01,-1.93898,0.884282,0.12775, 1
0.02,-1.93014,0.896106,0.12775, 1
0.03,-1.92118,0.907724,0.12775, 1
0.04,-1.9121,0.919136,0.12775, 1
0.05,-1.90291,0.930343,0.12775, 1
0.06,-1.8936,0.941346,0.12775, 1
0.07,-1.88419,0.952146,0.12775, 1
0.08,-1.87467,0.962744,0.12775, 1
0.09,-1.86504,0.973141,0.12775, 1
0.1,-1.85531,0.983338,0.12775, 1
0.11,-1.84548,0.992326,0.0268589, 1
0.12,-1.83555,1.00113,0.0268589, 1
0.13,-1.82554,1.00974,0.0268589, 1
0.14,-1.81545,1.01817,0.0268589, 1
0.15,-1.80526,1.02641,0.0268589, 1
0.16,-1.795,1.03446,0.0268589, 1
0.17,-1.78466,1.04234,0.0268589, 1
0.18,-1.77423,1.05003,0.0268589, 1
0.19,-1.76373,1.05754,0.0268589, 1
0.2,-1.75316,1.06487,0.0268589, 1
0.21,-1.74251,1.07118,-0.0575404, 1
0.22,-1.7318,1.07732,-0.0575404, 1
0.23,-1.72102,1.08329,-0.0575404, 1
0.24,-1.71019,1.08909,-0.0575404, 1
0.25,-1.6993,1.09472,-0.0575404, 1
0.26,-1.68835,1.10019,-0.0575404, 1
0.27,-1.67735,1.1055,-0.0575404, 1
0.28,-1.66629,1.11064,-0.0575404, 1
0.29,-1.65519,1.11562,-0.0575404, 1
0.3,-1.64403,1.12044,-0.0575404, 1
0.31,-1.63283,1.12452,-0.115624, 1
0.32,-1.62158,1.12845,-0.115624, 1
0.33,-1.6103,1.13223,-0.115624, 1
0.34,-1.59898,1.13585,-0.115624, 1
0.35,-1.58762,1.13933,-0.115624, 1
0.36,-1.57622,1.14265,-0.115624, 1
0.37,-1.5648,1.14583,-0.115624, 1
0.38,-1.55334,1.14886,-0.115624, 1
0.39,-1.54185,1.15175,-0.115624, 1
0.4,-1.53033,1.1545,-0.115624, 1
0.41,-1.51879,1.15674,-0.151753, 1
0.42,-1.50722,1.15884,-0.151753, 1
0.43,-1.49563,1.16081,-0.151753, 1
0.44,-1.48402,1.16264,-0.151753, 1
0.45,-1.4724,1.16434,-0.151753, 1
0.46,-1.46075,1.1659,-0.151753, 1
0.47,-1.4491,1.16733,-0.151753, 1
0.48,-1.43742,1.16863,-0.151753, 1
0.49,-1.42574,1.1698,-0.151753, 1
0.5,-1.41404,1.17084,-0.151753, 1
0.51,-1.40233,1.17158,-0.1698, 1
0.52,-1.39061,1.17219,-0.1698, 1
0.53,-1.37889,1.17267,-0.1698, 1
0.54,-1.36716,1.17304,-0.1698, 1
0.55,-1.35543,1.17328,-0.1698, 1
0.56,-1.3437,1.1734,-0.1698, 1
0.57,-1.33197,1.17341,-0.1698, 1
0.58,-1.32023,1.17329,-0.1698, 1
0.59,-1.3085,1.17307,-0.1698, 1
0.6,-1.29677,1.17272,-0.1698, 1
0.61,-1.28504,1.17223,-0.173066, 1
0.62,-1.27332,1.17163,-0.173066, 1
0.63,-1.2616,1.17092,-0.173066, 1
0.64,-1.24989,1.17009,-0.173066, 1
0.65,-1.23819,1.16916,-0.173066, 1
0.66,-1.2265,1.16812,-0.173066, 1
0.67,-1.21482,1.16697,-0.173066, 1
0.68,-1.20315,1.16572,-0.173066, 1
0.69,-1.19149,1.16436,-0.173066, 1
0.7,-1.17985,1.1629,-0.173066, 1
0.71,-1.16822,1.16143,-0.164364, 1
0.72,-1.15661,1.15985,-0.164364, 1
0.73,-1.14501,1.15818,-0.164364, 1
0.74,-1.13343,1.1564,-0.164364, 1
0.75,-1.12186,1.15453,-0.164364, 1
0.76,-1.11032,1.15256,-0.164364, 1
0.77,-1.09879,1.15049,-0.164364, 1
0.78,-1.08729,1.14833,-0.164364, 1
0.79,-1.0758,1.14608,-0.164364, 1
0.8,-1.06434,1.14373,-0.164364, 1
0.81,-1.05291,1.14148,-0.146079, 1
0.82,-1.04149,1.13913,-0.146079, 1
0.83,-1.0301,1.13669,-0.146079, 1
0.84,-1.01873,1.13417,-0.146079, 1
0.85,-1.00739,1.13155,-0.146079, 1
0.86,-0.996075,1.12885,-0.146079, 1
0.87,-0.984787,1.12606,-0.146079, 1
0.88,-0.973526,1.12319,-0.146079, 1
0.89,-0.962294,1.12023,-0.146079, 1
0.9,-0.951092,1.11719,-0.146079, 1
0.91,-0.93992,1.11433,-0.12023, 1
0.92,-0.928777,1.11138,-0.12023, 1
0.93,-0.917663,1.10835,-0.12023, 1
0.94,-0.90658,1.10524,-0.12023, 1
0.95,-0.895527,1.10205,-0.12023, 1
0.96,-0.884507,1.09879,-0.12023, 1
0.97,-0.873519,1.09544,-0.12023, 1
0.98,-0.862564,1.09202,-0.12023, 1
0.99,-0.851644,1.08852,-0.12023, 1
1,-0.840759,1.08495,-0.12023, 1
